University_name,City,State,University_link,Tuition_Fees_Domestic,Type_of_Institution,Undergraduate_Population,Acceptance_Rate,Average_SAT_ACT_Score,Ranking_National,Graduation_Rate,Percentage_of_International_Students
CET-Soledad,Soledad,CA,https://cetweb.edu/,35684,Public,38074,56.42592223,1481,5633,67.77261326,2.569046069
UEI College-Oceanside,Oceanside,CA,https://www.uei.edu/,37087,Private,26509,85.67449837,1002,453,72.21631882,2.261186246
Paul Mitchell the School-New Orleans,Metairie,LA,paulmitchell.edu/neworleans,21834,Public,17541,95.67526269,1334,1310,97.23096435,21.1251495
UEI College-Garden Grove,Garden Grove,CA,https://www.uei.edu/,39296,Private,32427,44.9800075,1433,1475,65.76423453,16.4436474
New England Tractor Trailer Training School of Massachusetts,North Andover,MA,www.nettts.com/,25485,Public,11796,9.729520967,801,2790,55.09450746,7.459515415
Dewey University-Manati,Manati,PR,dewey.edu/,48025,Private,39598,89.24287522,1461,5252,67.70175338,0.61237273
Allen School-Phoenix,Phoenix,AZ,www.allenschool.edu/,41662,Public,13467,54.89397437,1217,3624,94.24846885,16.27236462
Oklahoma Technical College,Tulsa,OK,www.oklahomatechnicalcollege.com/,29275,Private,12455,82.69783557,1137,711,64.308213,9.005829343
Unitech Training Academy-Alexandria,Alexandria,LA,www.unitechta.edu/,25541,Private,4875,75.41939711,1060,2891,85.4203954,4.434499424
UEI College-Riverside,Riverside,CA,https://www.uei.edu/,35651,Public,39827,14.0228989,951,4806,57.51138766,16.74622545
WellSpring School of Allied Health-Lawrence,Lawrence,KS,www.wellspring.edu/,31635,Private,26283,30.43658241,1289,2002,71.52152605,1.560180436
Manuel and Theresa's School of Hair Design-Victoria,Victoria,TX,www.manuelandtheresasschoolofhair.com/,23891,Private,38517,28.16954954,1577,479,69.49062948,11.20086791
Tricoci University of Beauty Culture-Chicago NE,Chicago,IL,www.tricociuniversity.edu/,31964,Private,7772,87.78497474,864,1592,82.57512963,24.52344364
Los Angeles Pacific University,San Dimas,CA,https://www.lapu.edu/,5016,Private,34101,98.68137494,817,2094,82.52475915,20.37306861
Avalon Institute-Phoenix,Phoenix,AZ,avalon.edu/phoenix-az/,44972,Public,24153,72.13042453,1406,2622,51.80276737,6.441145507
Avalon Institute-Layton,Layton,UT,avalon.edu/layton-ut/,21072,Private,35619,73.51556826,1532,850,92.17886563,20.31929723
Aveda Institute-Des Moines,West Des Moines,IA,avedainstitutedesmoines.com/,11763,Public,2047,97.4730355,1202,1075,96.75963826,20.87002773
Fortis Institute-Lawrenceville,Lawrenceville,NJ,fortis.edu/,9276,Private,32051,73.09863536,1136,4578,94.75567176,19.2204516
Relay Graduate School of Education,New York,NY,www.relay.edu/,9587,Public,9316,73.82540331,990,531,82.62029344,20.52032758
Miller-Motte College-Macon,Macon,GA,https://www.miller-motte.edu/,17935,Public,17437,85.56407939,873,922,72.60707496,16.51372562
South University-Savannah Online,Savannah,GA,www.southuniversity.edu/online#location=Online Programs,12258,Private,14695,23.62825604,1432,4287,91.40930243,24.10695365
San Joaquin Valley College-Temecula,Temecula,CA,www.sjvc.edu/,43143,Public,16413,81.72806031,1366,2299,69.61181667,19.08016495
Whitworth University-Adult Degree Programs,Spokane,WA,https://www.whitworth.edu/cms/,12959,Private,10273,53.31045119,1067,387,55.8120486,6.964159996
The Colleges of Law at Santa Barbara,Santa Barbara,CA,https://www.collegesoflaw.edu/,35860,Private,1441,76.79522315,1307,3392,74.96139283,9.78917504
Springfield College-Regional Online and Continuing Education,Springfield,MA,https://springfield.edu/regional-and-online,5697,Public,9648,99.2911616,1240,1072,60.95019453,14.5628101
Marian Health Careers Center-Van Nuys Campus,Van Nuys,CA,www.mariancollege.edu/,16354,Public,39793,37.28843007,1116,603,54.77995079,21.88010639
Milan Institute-Las Vegas,Las Vegas,NV,www.milaninstitute.edu/,37521,Private,2923,96.46756636,1597,2541,53.19868031,16.0238463
Catholic Distance University,Charles Town,WV,https://cdu.edu/,19394,Public,32479,62.33646897,921,871,72.60852075,1.640399877
New York School of Esthetics & Day Spa,white plains,NY,www.newyorkschoolofesthetics.com/,18310,Public,18867,79.97067931,903,3967,79.40343978,24.79441191
Finger Lakes Health College of Nursing & Health Sciences,Geneva,NY,https://www.flhcon.edu/,33090,Public,36179,51.51383649,1573,1792,87.97330927,11.70966458
ASI Career Institute,Turnersville,NJ,www.asi.edu/,27801,Public,12996,97.3565198,1035,2760,92.62664724,1.739512308
Christine Valmy International School of Esthetics & Cosmetology,Pine Brook,NJ,https://www.christinevalmy.com/,49180,Public,16550,46.93916915,1274,4682,89.27431573,8.981992555
City College-Hollywood,Hollywood,FL,https://www.citycollege.edu/,40132,Private,22068,68.13998995,1314,3863,69.47251638,23.92482905
Paul Mitchell the School-Arlington,Arlington,TX,paulmitchell.edu/arlington,19857,Public,32564,11.78039143,1522,5088,86.42396002,21.20549793
Rocky Mountain University of Health Professions,Provo,UT,https://rm.edu/,6172,Public,12096,24.19738221,1282,5009,97.48312472,11.45383187
Paul Mitchell the School-Fort Myers,Fort Myers,FL,paulmitchell.edu/fortmyers,30638,Private,10024,70.56139435,1265,3314,70.67500545,8.43965789
Paul Mitchell the School-Raleigh,Raleigh,NC,paulmitchell.edu/raleigh,49521,Private,19373,49.0159394,943,5033,83.22352672,23.26649816
CUNY Stella and Charles Guttman Community College,New York,NY,https://www.guttman.cuny.edu/,44114,Private,8078,33.28599496,866,4305,50.7143232,15.23294046
Lil Lou's Beauty and Barber College,Gary,IN,www.lillousbeautyandbarbercollege.com/,19822,Public,28979,92.63966543,855,1268,65.22588218,15.39208507
Criswell College,Dallas,TX,www.criswell.edu/,21791,Public,28447,89.49188751,1321,2392,95.6311396,17.18448162
Beverly Hills Design Institute,Beverly Hills,CA,https://www.bhdi.edu/,44496,Private,7217,21.41167989,1328,2896,90.064237,23.15431447
Reflections Academy of Beauty,Decatur,IL,www.reflectionsacademyofbeauty.com/,19337,Public,6233,50.01562642,1160,5134,56.37774372,1.187768346
UCAS University of Cosmetology Arts & Sciences-La Joya,La Joya,TX,www.ucastx.com/,24018,Public,30837,83.18461134,866,5372,78.16412133,18.17546931
Annenberg School of Nursing,Reseda,CA,www.asn.edu/,36527,Private,32310,26.28083883,1266,312,60.1324643,3.736212139
American Medical Academy,Miami,FL,www.ama.edu/,38238,Private,39385,52.12542619,1480,3527,81.0818202,9.297037905
Tooele Technical College,Tooele,UT,www.tooeletech.edu/,35694,Private,35021,76.92872036,1232,1166,87.64119909,2.978685085
Chamberlain University-Georgia,Sandy Springs,GA,https://www.chamberlain.edu/,28051,Private,38321,50.91035363,1568,1127,50.78287889,5.143884686
Chamberlain University-Indiana,Indianapolis,IN,https://www.chamberlain.edu/,23581,Public,6684,66.99633468,1145,4853,80.33504238,24.62565275
Sessions College for Professional Design,Tempe,AZ,https://www.sessions.edu/,15704,Public,14373,46.88610106,1254,3206,86.08523414,23.19668915
Tulsa Welding School-Jacksonville,Jacksonville,FL,https://www.tws.edu/,14100,Private,11904,36.91215839,1220,4729,73.47003372,8.197745308
Empire Beauty School-Virginia Beach,Virginia Beach,VA,www.empire.edu/,11202,Public,19287,62.8398815,1048,5945,83.82536768,4.831336503
Ross Medical Education Center-Morgantown,Morgantown,WV,https://rosseducation.edu/,12471,Private,28126,90.87963854,1124,697,55.98013108,19.26731138
Miami Ad School-New York,Astoria,NY,miamiadschool.com/locations/new-york/,14182,Private,27263,17.52988301,819,4814,63.04077109,10.77482519
Larry's Barber College,Chicago,IL,www.larrysbarbercollege.com/,24808,Private,35970,87.90564742,1179,5471,83.26276429,9.788383159
Futura Career Institute,Hialeah,FL,www.futuracareerinstitute.net/,35504,Private,9566,18.46578333,1425,4473,65.78372589,0.959595951
Flair Beauty College,Valencia,CA,flairbeautycollege.com/,30650,Public,27000,57.09096764,1143,5295,81.91739003,2.375682129
Vogue College of Cosmetology-San Antonio Fredericksburg,San Antonio,TX,vogue.edu/,46168,Private,25720,11.50207158,866,5153,65.42934645,18.00122871
Vogue College of Cosmetology,San Antonio,TX,vogue.edu/,47477,Private,1203,55.4693062,1570,4972,65.95284771,14.38809528
Tomorrow's Image Barber And Beauty Academy of Virginia,Newport News,VA,www.tomorrowsimage.com/,25605,Private,4880,12.29702259,1536,2769,56.35822911,9.714460932
Medical Allied Career Center,Santa Fe Springs,CA,www.medicalallied.edu/,19600,Private,11901,44.40609612,948,3097,63.19436645,24.75604083
Bais HaMedrash and Mesivta of Baltimore,Baltimore,MD,www.bhmb.edu/,37746,Public,4307,97.08221518,1196,2422,51.4896691,13.64722279
Barber & Beauty Institute of New York,Hempstead,NY,www.bbiny.edu/#,5575,Private,37207,82.40283532,1501,4069,68.24981111,0.520532695
Salon Institute-Toledo Campus,Toledo,OH,www.saloninstitute.edu/,14905,Private,5514,50.26855347,993,2149,60.77417476,7.298686408
Athena Career Academy,Toledo,OH,www.athenacareers.edu/,9807,Private,21301,59.86374318,983,3719,78.39305829,6.211184664
Yeshiva Gedolah Zichron Leyma,Union,NJ,https://www.yzl.edu/,24640,Public,24232,90.76095565,1289,1870,95.45061165,21.6063417
The Barber School,Midvale,UT,thebarberschool.com/,21007,Public,17979,16.37034497,1160,5943,81.14831029,20.88012586
Be'er Yaakov Talmudic Seminary,Spring Valley,NY,www.byts.edu/,12469,Public,13872,41.18594678,871,2533,96.17149007,23.57512821
Rio Grande Valley College,Pharr,TX,www.rgvcollege.edu/,44764,Private,30975,58.14869588,1501,2128,83.99256747,23.76229364
Alexander Academy,Lunenburg,MA,www.alexanderacademy.com/,38862,Public,5352,45.86357523,1477,6127,50.872279,9.773301397
Aveda Institute-Tucson,Tucson,AZ,www.avedainstitutetucson.com/,18412,Public,14504,64.6994647,1535,3980,57.80464388,7.62525461
Diamond Beauty College,South El Monte,CA,www.diamondbeauty.edu/,14352,Private,18630,22.94596093,1258,1914,87.12728571,7.835009444
Unitek College,South San Francisco,CA,www.unitekcollege.edu/,12611,Private,10640,49.57865691,1364,4625,95.9921618,5.779699568
University Academy of Hair Design,Tuscaloosa,AL,www.uahairdesign.com/,23897,Private,9697,56.8316064,800,3814,88.23604942,13.5613793
Florida Institute of Recording Sound and Technology,Orlando,FL,www.first.edu/,38835,Public,14463,56.95181384,1582,3443,88.73409999,6.054343638
Paul Mitchell the School-Reno,Reno,NV,paulmitchell.edu/reno,29515,Private,10413,74.86682685,1141,164,64.35385714,14.59985116
Boise Barber College,Boise,ID,boisebarbercollege.com/,39048,Public,31090,32.09539903,1132,1714,70.02238056,22.32347131
Austin Kade Academy,Idaho Falls,ID,www.austinkade.com/,8104,Private,33516,23.42831873,1560,4387,75.46238097,12.39161159
Aesthetic Science Institute,Latham,NY,www.aestheticscienceinstitute.edu/,13252,Public,31152,81.15859058,916,4427,86.03170646,20.12131956
Elaine Sterling Institute,Atlanta,GA,www.elainesterling.com/,48534,Private,15769,45.75215633,1022,2138,59.38650974,0.364764535
Wade Gordon Hairdressing Academy,Amarillo,TX,www.wadegordonacademy.com/,14500,Private,38584,55.6774266,978,5181,93.88983123,24.46941292
Mitsu Sato Hair Academy,Overland Park,KS,www.mitsusatohairacademy.com/,41625,Public,33081,83.56473984,1360,4877,52.80845218,15.03594807
FVI School of Nursing and Technology,Miami,FL,www.fvi.edu/,47244,Private,2710,60.47015426,1090,4731,65.76670593,2.868926176
Academy di Firenze,Jerome,ID,www.academydifirenze.com/,6883,Private,22194,12.00256574,1321,5199,79.78811944,16.35682017
Colorado State University Global,Aurora,CO,https://csuglobal.edu/,47637,Public,18640,25.01444541,835,3047,79.1912187,14.98792085
Paul Mitchell the School-Overland Park,Overland Park,KS,paulmitchell.edu/overlandpark,11147,Public,14752,57.1554822,848,3813,74.62632396,2.021575003
Medspa Academies,South Jordan,UT,www.nima.edu/,27957,Private,13687,30.29118477,1409,955,67.16702008,16.70595731
Brighton Institute of Cosmetology,Brighton,MI,www.brightoninstitute.net/,14580,Private,37998,5.765426115,1103,3743,85.309347,23.55078753
West Coast University-Dallas,Richardson,TX,westcoastuniversity.edu/,17001,Public,5254,65.59305643,1347,1133,67.33829745,11.52232009
Evangel University-James River Assembly of God Church,Ozark,MO,https://www.evangel.edu/,46578,Public,19286,7.32409982,1379,1139,89.89045246,16.46447535
Empire Beauty School-Savannah,Savannah,GA,www.empire.edu/,45849,Private,2757,20.7576929,1477,2017,88.28457238,3.86820577
Ogle School Hair Skin Nails-Denton,Denton,TX,www.ogleschool.edu/,10875,Private,8942,41.61511212,1559,5455,81.90303457,24.74559313
Empire Beauty School-West Greensboro,Greensboro,NC,www.empire.edu/,29140,Public,20613,72.3380595,1294,5434,66.10445993,24.54934974
Hays Academy of Hair Design,Salina,KS,haysacademy.com/,34459,Public,27647,71.5578231,1039,2438,67.70819209,10.80157639
Bellus Academy,Manhattan,KS,www.bellusacademy.edu/,12573,Public,4210,78.36838561,1279,5367,83.27718283,17.33451111
MotoRing Technical Training Institute,East Providence,RI,www.mtti.edu/,15240,Private,24215,94.42429326,1096,5298,65.31991827,18.71667107
Unitek College,Hayward,CA,www.unitekcollege.edu/,37749,Private,35522,72.51001909,1223,4813,73.47954462,14.75787306
Pennsylvania State University-World Campus,University Park,PA,https://www.worldcampus.psu.edu/,16694,Public,38558,78.65548275,1171,5020,93.03091332,14.60349615
Medical Career Institute,Ocean,NJ,www.mcinj.edu/,32326,Private,5961,27.69538368,912,2862,78.27272815,21.17217476
Advance Beauty Techs Academy,San Jacinto,CA,www.abt.edu/,16521,Private,33566,48.93060146,952,2543,64.14706261,14.52431608
Elevate Salon Institute-Westminster,Westminster,CO,www.esiwestminster.com/,35053,Private,3311,65.08181775,1166,6091,85.29960416,17.43508577
Brand College,Glendale,CA,brandcollege.edu/,48065,Private,24286,50.97387788,1416,663,92.8455494,14.4018001
Hinton Barber and Beauty College,Vallejo,CA,hintonbarberbeauty.com/,32228,Public,6471,81.43321722,981,4999,57.16502804,21.31671577
Advanced Career Institute,Visalia,CA,https://advanced.edu/,28231,Private,18440,60.66046776,996,2134,65.75598963,5.969493889
Digital Film Academy,New York,NY,www.digitalfilmacademy.edu/,38812,Public,29025,44.77336586,1146,797,89.48621072,24.98463182
MyComputerCareer at Raleigh,Raleigh,NC,www.mycomputercareer.edu/,33291,Public,11881,33.80915441,1113,6452,76.76052152,11.64331721
South University-Austin,Round Rock,TX,"www.southuniversity.edu/austin#location=Austin, TX",11287,Private,17449,21.58859511,1343,2290,77.13185381,12.38293432
Bryant & Stratton College-Online,Orchard Park,NY,https://www.bryantstratton.edu/,21958,Private,32599,93.14843954,887,3576,76.68791293,8.199750056
Ogle School Hair Skin Nails-San Antonio,San Antonio,TX,www.ogleschool.edu/,49990,Private,31273,59.6274565,987,4286,66.87050666,12.98594159
Ideal Beauty Academy,Louisville,KY,idealbeautyacademy.net/,13082,Public,12426,88.33534638,972,112,51.10998916,1.071478508
Warner Pacific University Professional and Graduate Studies,Portland,OR,https://www.warnerpacific.edu/,37262,Public,27727,46.3303342,1371,4429,90.71250106,6.068282959
Platt College-Riverside,Riverside,CA,www.plattcollege.edu/,23438,Private,25442,6.868896588,834,809,89.7423213,12.94942527
Empire Beauty School-Glen Burnie,Glen Burnie,MD,www.empire.edu/,28102,Public,10046,42.55454848,845,4509,68.38076465,12.91436055
International School of Cosmetology,Scottsdale,AZ,https://www.toniguy.edu/,18119,Public,33478,63.88221329,894,6190,50.54827925,12.33668987
UEI College-Stockton,Stockton,CA,https://www.uei.edu/,35444,Public,36113,74.94781184,1364,5996,62.53314172,12.96091159
Ross Medical Education Center-Dayton,Dayton,OH,https://rosseducation.edu/,47940,Private,31306,73.26868015,1281,576,93.98651649,21.19116498
Ross Medical Education Center-Ontario,Ontario,OH,https://rosseducation.edu/,46762,Private,35337,75.31367495,1328,340,53.31007049,18.09853783
Ross Medical Education Center-Bowling Green,Bowling Green,KY,https://rosseducation.edu/,6819,Private,9610,50.63229938,1179,1294,61.80811163,21.47758318
Florida Institute of Technology-Online,Melbourne,FL,https://www.fit.edu/,23321,Public,32741,15.91706053,1377,1828,57.59528684,12.57299488
Rasmussen University-Kansas,Topeka,KS,https://rasmussen.edu/,11340,Private,23517,76.64172497,1532,5958,55.97311088,14.89157953
School of Missionary Aviation Technology,Ionia,MI,www.smat.edu/,18461,Private,5332,81.5901159,1543,2212,83.20859935,20.06590107
California Miramar University,San Diego,CA,www.calmu.edu/,25681,Public,1962,82.42854192,1069,3545,52.69575823,4.390658427
Rocky Vista University,Parker,CO,www.rvu.edu/,20032,Public,4149,80.88025264,1249,6430,62.088105,11.54363623
The College of Health Care Professions-Dallas,Dallas,TX,www.chcp.edu/,32840,Public,19705,81.9537439,1579,3334,79.18274403,4.748913227
The College of Health Care Professions-Fort Worth,Fort Worth,TX,www.chcp.edu/,9011,Private,20135,89.6856965,1222,5586,97.44562868,4.074653331
Shear Finesse Beauty Academy,Jacksonville,FL,www.shearfinessehairacademy.com/,27622,Public,2684,76.55503582,1102,173,53.24080918,14.21811808
Miami Media School,Doral,FL,https://beonair.com/,29063,Public,29803,76.76019724,1535,2514,80.5109681,14.45259269
Academy of Salon Professionals,Sedalia,MO,www.academyofsalonprofessionals.com/,30965,Public,29962,9.027726271,1422,6059,74.30702756,15.15214458
CyberTex Institute of Technology,Austin,TX,cybertex.edu/,47029,Public,37759,15.47727637,1538,3643,67.17707878,10.92202351
New England Tractor Trailer Training School of CT-Bridgeport,Bridgeport,CT,www.nettts.com/,25113,Private,7158,69.14395755,1600,5465,93.87707431,24.39160661
Designer Barber & Stylist School,Ft Smith,AR,designercollege.net/,8392,Private,20724,70.26138362,1109,4394,97.06956398,11.05110429
Paul Mitchell the School-Woodbridge,Woodbridge,VA,paulmitchell.edu/woodbridge,43107,Public,17364,34.61089746,1045,5828,68.01339772,9.957395121
